timestep,episode_reward
26328,219.776971
26440,212.690827
26456,215.197072
27064,222.640438
27232,217.883951
27368,209.423486
27904,215.943651
28336,212.695374
39448,347.134689
39600,346.745259
39864,346.318926
40040,358.719111
40080,350.35507
40088,349.123015
40704,356.674433
42152,350.065387
49096,366.517848
49192,367.823888
49200,377.011569
49816,370.320705
49888,370.244173
50072,361.584007
50360,361.894556
50968,372.668469
58008,366.964542
58088,378.341676
58176,379.824375
58224,372.66629
59256,378.684407
59688,360.853161
59800,384.987798
61576,382.418111
66440,379.942431
66664,380.551565
66928,382.964524
66944,377.416036
67984,387.415739
68328,382.841409
68584,388.187319
70352,381.833946
74728,387.988885
74904,388.204424
75016,388.412429
75848,379.994701
76024,387.453678
76256,378.122491
77024,391.73683
79808,377.996922
82576,390.214803
82968,393.326285
83400,387.030398
83528,378.696355
83992,389.532071
84232,380.222689
84400,398.059566
87456,380.229808
90184,387.462247
90592,392.534468
90792,389.419313
91760,387.443784
91832,390.442884
92056,387.085975
92416,399.9523
95296,394.296239
96664,385.577006
98464,391.80264
98568,387.733811
99208,387.71275
99496,391.73752
99736,387.567154
100968,394.536591
103024,395.377201
104296,386.101859
105976,403.918185
106296,390.926706
106544,394.189091
106808,389.312143
107024,404.365619
108544,396.861637
110488,390.85816
111040,407.796089
113040,398.734799
113344,394.895085
113400,393.362483
114384,395.697388
114808,395.92289
115008,395.897054
117144,394.992393
118008,398.811362
120264,393.515562
120496,402.028277
121040,401.697974
121536,391.893273
122032,400.514501
122272,395.684851
124520,395.82952
125048,407.407835
127608,409.903414
127648,408.148772
127952,401.320649
128688,404.888063
129104,401.636881
129360,398.063339
131024,398.136421
131872,402.299106
134432,395.213311
134544,397.610734
134784,408.471071
136072,398.03484
136376,407.610854
136384,399.266679
137336,392.15075
138808,410.085147
141136,403.326377
141312,402.751965
141592,402.980143
142696,407.502066
143120,400.607045
143128,398.909879
143624,401.244565
146088,396.674835
147680,394.582994
148000,401.975561
148832,402.494506
149832,403.116852
149832,404.248736
150016,398.895565
150360,403.01192
152576,398.791002
154632,400.535083
154936,409.799991
155320,398.21079
156336,404.326594
156408,396.478661
156584,408.861913
156672,403.563899
158920,411.391822
161016,403.000719
161120,404.291603
161920,402.232674
162888,411.60161
162888,403.719152
163280,406.271072
163440,406.906132
164904,401.943444
167456,405.903533
167824,409.142315
168584,408.227125
169440,411.882123
169448,410.864728
169944,407.229689
170016,411.761269
171088,406.421876
173568,408.503359
174368,413.354349
175176,397.892941
175928,407.425804
176264,415.395728
176360,415.601925
176448,410.730337
177496,413.315805
179744,405.715461
181256,412.896195
181568,406.967287
181936,404.621091
182664,405.866327
182880,407.669478
182992,411.878429
183656,405.130466
185576,405.863996
187584,408.044346
187720,415.049846
188384,414.126699
188640,409.770569
189064,413.817053
189544,411.420959
189560,410.900131
191632,414.468747
194368,415.559814
194392,409.208172
194656,408.919869
194672,418.343813
195128,413.454275
195432,408.262483
195784,410.245661
197792,413.400573
200424,411.002949
200488,413.077734
200904,417.308949
200936,414.796564
201776,415.658614
202024,416.341618
202400,418.453519
204040,411.910318
206432,413.463051
206712,412.722227
207168,413.283183
207240,416.283036
208040,413.281216
208064,413.955161
208600,418.473292
210248,413.146188
212360,411.444904
212800,406.662123
213008,413.635613
213144,417.314179
213744,409.815435
214136,414.314061
214816,415.602348
216272,410.492667
218792,417.838472
219056,424.475533
219352,416.173982
219480,413.177689
219552,413.983976
219808,414.017632
221048,414.590704
222216,420.08544
224768,414.82748
225136,414.700688
225160,414.134213
225552,409.708256
225648,414.944082
226160,424.070144
227104,415.732938
228104,415.594351
231008,413.54892
231144,415.440659
231312,418.51707
231624,412.66465
231736,419.84293
232440,413.433567
233688,426.443739
234288,418.88922
236856,412.557308
236960,415.73799
237496,413.62633
237616,423.724139
238256,414.751238
238400,417.887619
239912,412.25506
240744,417.644537
242952,421.643796
242968,413.254556
243784,421.786667
243960,427.348461
244248,414.527079
244560,419.37908
245984,416.983561
246448,412.42944
248888,417.6558
249120,419.671245
249960,418.075701
250512,421.334988
250568,419.980705
250664,427.031955
251920,416.430569
252368,424.368088
255240,416.588088
